#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.015121883336e-01       1.708845668969e-06      -1.166775103788e+00       2.043963700305e-07       4.761937067882e-13       1.190484266971e-12       1.560195447804e-21       2.380968533941e-13      -8.750813278413e-01       2.043963700305e-07       5.837311945854e-01       7.083062479732e-01      -8.750813278413e-01       2.043963796026e-07      -1.166775103957e+00       2.043963655299e-07       1.915594239372e-08       3.333333333333e-01      -1.166775103788e+00       2.043963655444e-07       1.909674057494e-08       3.333333333333e-01 
       7.022363721520e-01       1.710611731457e-06      -1.166775164378e+00       2.046071451548e-07       4.776705331678e-13       1.194176332920e-12       1.568270647376e-21       2.388352665839e-13      -8.750813732837e-01       2.046071451548e-07       5.838339873223e-01       7.083062328751e-01      -8.750813732837e-01       2.046071547565e-07      -1.166775164548e+00       2.046071406402e-07       1.919548861626e-08       3.333333333333e-01      -1.166775164378e+00       2.046071406548e-07       1.909674055156e-08       3.333333333333e-01 
       7.029605559705e-01       1.712377798049e-06      -1.166775686773e+00       2.048180008486e-07       4.791506005306e-13       1.197876501326e-12       1.576379883694e-21       2.395753002653e-13      -8.750817650801e-01       2.048180008486e-07       5.839363482241e-01       7.083061023257e-01      -8.750817650801e-01       2.048180104802e-07      -1.166775686943e+00       2.048179963201e-07       1.923507542203e-08       3.333333333333e-01      -1.166775686773e+00       2.048179963348e-07       1.909674050860e-08       3.333333333333e-01 
       7.060836847697e-01       1.719994217171e-06      -1.166790056539e+00       2.057294744971e-07       4.855736559609e-13       1.213934139902e-12       1.611754015862e-21       2.427868279805e-13      -8.750925424039e-01       2.057294744971e-07       5.843712861252e-01       7.083025100981e-01      -8.750925424039e-01       2.057294842575e-07      -1.166790056710e+00       2.057294699079e-07       1.940623335996e-08       3.333333333333e-01      -1.166790056539e+00       2.057294699235e-07       1.909674057483e-08       3.333333333333e-01 
       7.092068135688e-01       1.727610712628e-06      -1.166815558780e+00       2.066429327687e-07       4.920586259586e-13       1.230146564896e-12       1.647776470380e-21       2.460293129793e-13      -8.751116690851e-01       2.066429327687e-07       5.847977246654e-01       7.082961347524e-01      -8.751116690851e-01       2.066429426591e-07      -1.166815558953e+00       2.066429281182e-07       1.957813500106e-08       3.333333333333e-01      -1.166815558780e+00       2.066429281352e-07       1.909674048981e-08       3.333333333333e-01 
       7.123299423680e-01       1.735227284419e-06      -1.166849281595e+00       2.075578841512e-07       4.986047092374e-13       1.246511773093e-12       1.684452552835e-21       2.493023546187e-13      -8.751369611963e-01       2.075578841512e-07       5.852164411246e-01       7.082877042643e-01      -8.751369611963e-01       2.075578941727e-07      -1.166849281769e+00       2.075578794389e-07       1.975079389000e-08       3.333333333333e-01      -1.166849281595e+00       2.075578794578e-07       1.909674053856e-08       3.333333333333e-01 
       7.154530711672e-01       1.742843932545e-06      -1.166890030101e+00       2.084741341366e-07       5.052117838619e-13       1.263029459655e-12       1.721789837383e-21       2.526058919309e-13      -8.751675225760e-01       2.084741341366e-07       5.856278126903e-01       7.082775173543e-01      -8.751675225760e-01       2.084741442905e-07      -1.166890030277e+00       2.084741293621e-07       1.992421524717e-08       3.333333333333e-01      -1.166890030101e+00       2.084741293834e-07       1.909674056033e-08       3.333333333333e-01 
       7.223261600514e-01       1.759606206076e-06      -1.167002023228e+00       2.104947480846e-07       5.199676062285e-13       1.299919015571e-12       1.806329309838e-21       2.599838031143e-13      -8.752515174208e-01       2.104947480846e-07       5.865082985914e-01       7.082495195526e-01      -8.752515174208e-01       2.104947585338e-07      -1.167002023407e+00       2.104947431710e-07       2.030855990113e-08       3.333333333333e-01      -1.167002023228e+00       2.104947431997e-07       1.909674053855e-08       3.333333333333e-01 
       7.291992489357e-01       1.776368849303e-06      -1.167143498175e+00       2.125210701656e-07       5.350225711034e-13       1.337556427759e-12       1.894209769635e-21       2.675112855517e-13      -8.753576236315e-01       2.125210701656e-07       5.873557447745e-01       7.082141513003e-01      -8.753576236315e-01       2.125210809157e-07      -1.167143498358e+00       2.125210651104e-07       2.069661715380e-08       3.333333333333e-01      -1.167143498175e+00       2.125210651490e-07       1.909674048760e-08       3.333333333333e-01 
       7.360723378200e-01       1.793131862226e-06      -1.167312243599e+00       2.145528457987e-07       5.503795728890e-13       1.375948932223e-12       1.985529906170e-21       2.751897864445e-13      -8.754841826995e-01       2.145528457987e-07       5.881716254576e-01       7.081719654335e-01      -8.754841826995e-01       2.145528568555e-07      -1.167312243785e+00       2.145528405990e-07       2.108839721906e-08       3.333333333333e-01      -1.167312243599e+00       2.145528406503e-07       1.909674057246e-08       3.333333333333e-01 
       7.429454267043e-01       1.809895244846e-06      -1.167506103437e+00       2.165898148059e-07       5.660414579144e-13       1.415103644786e-12       2.080390153651e-21       2.830207289572e-13      -8.756295775776e-01       2.165898148059e-07       5.889573605438e-01       7.081235009680e-01      -8.756295775776e-01       2.165898261751e-07      -1.167506103626e+00       2.165898094591e-07       2.148390954788e-08       3.333333333333e-01      -1.167506103437e+00       2.165898095257e-07       1.909674052681e-08       3.333333333333e-01 
       7.601065349588e-01       1.851752599148e-06      -1.168087791961e+00       2.216970740219e-07       6.064969559698e-13       1.516242389925e-12       2.333373288855e-21       3.032484779849e-13      -8.760658439710e-01       2.216970740219e-07       5.907960596057e-01       7.079780800905e-01      -8.760658439710e-01       2.216970861967e-07      -1.168087792160e+00       2.216970682956e-07       2.248779810395e-08       3.333333333333e-01      -1.168087791961e+00       2.216970684127e-07       1.909674048037e-08       3.333333333333e-01 
       7.772676432133e-01       1.893612258244e-06      -1.168786983079e+00       2.268318419845e-07       6.489156977485e-13       1.622289244371e-12       2.610718601527e-21       3.244578488742e-13      -8.765902373096e-01       2.268318419845e-07       5.924739304721e-01       7.078032835938e-01      -8.765902373096e-01       2.268318550020e-07      -1.168786983287e+00       2.268318358613e-07       2.351514528361e-08       3.333333333333e-01      -1.168786983079e+00       2.268318360462e-07       1.909674053301e-08       3.333333333333e-01 
