#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       7.002768519530e-03       1.610374859458e-08      -1.182133669672e+00       2.069527070705e-05       4.254787422464e-15       1.063696855616e-14       1.230119646001e-25       2.127393711232e-15      -8.866002522543e-01       2.069527070705e-05       5.910625616696e-01       7.044666067360e-01      -1.182133669672e+00       2.069527025598e-05       1.932325900505e-08      -8.866002522543e-01       2.069527166094e-05      -1.182133669672e+00       2.069527025598e-05       1.932325138337e-08       3.333333333333e-01 
       7.005453662587e-03       1.610992349299e-08      -1.182133254203e+00       2.070319873005e-05       4.259682189763e-15       1.064920547441e-14       1.232479425204e-25       2.129841094882e-15      -8.865999406524e-01       2.070319873005e-05       5.910626682004e-01       7.044667106218e-01      -1.182133254203e+00       2.070319827847e-05       1.933808226004e-08      -8.865999406524e-01       2.070319968504e-05      -1.182133254203e+00       2.070319827847e-05       1.933806631740e-08       3.333333333333e-01 
       7.008138805644e-03       1.611609839145e-08      -1.182132845116e+00       2.071112685992e-05       4.264580731665e-15       1.066145182916e-14       1.234842830881e-25       2.132290365832e-15      -8.865996338373e-01       2.071112685992e-05       5.910627733198e-01       7.044668129120e-01      -1.182132845116e+00       2.071112640782e-05       1.935291117025e-08      -8.865996338373e-01       2.071112781601e-05      -1.182132845116e+00       2.071112640782e-05       1.935288690483e-08       3.333333333333e-01 
       7.019713987901e-03       1.614271729978e-08      -1.182132156765e+00       2.074532245786e-05       4.285744367618e-15       1.071436091904e-14       1.245073728765e-25       2.142872183809e-15      -8.865991175740e-01       2.074532245786e-05       5.910629851885e-01       7.044669850798e-01      -1.182132156765e+00       2.074532200351e-05       1.941689641338e-08      -8.865991175740e-01       2.074532341869e-05      -1.182132156765e+00       2.074532200351e-05       1.941683628098e-08       3.333333333333e-01 
       7.031289170159e-03       1.616933620915e-08      -1.182132012436e+00       2.077952758063e-05       4.306979881291e-15       1.076744970323e-14       1.255372902200e-25       2.153489940646e-15      -8.865990093267e-01       2.077952758063e-05       5.910630748886e-01       7.044670212423e-01      -1.182132012436e+00       2.077952712403e-05       1.948098487634e-08      -8.865990093267e-01       2.077952854623e-05      -1.182132012436e+00       2.077952712403e-05       1.948088878343e-08       3.333333333333e-01 
       7.042864352416e-03       1.619595511957e-08      -1.182132018403e+00       2.081373532861e-05       4.328285972657e-15       1.082071493164e-14       1.265740278433e-25       2.164142986328e-15      -8.865990138025e-01       2.081373532861e-05       5.910631306216e-01       7.044670198307e-01      -1.182132018403e+00       2.081373486975e-05       1.954517822689e-08      -8.865990138025e-01       2.081373629898e-05      -1.182132018403e+00       2.081373486975e-05       1.954504598169e-08       3.333333333333e-01 
       7.054439534673e-03       1.622257403104e-08      -1.182132043827e+00       2.084794341090e-05       4.349662284426e-15       1.087415571106e-14       1.276176056988e-25       2.174831142213e-15      -8.865990328704e-01       2.084794341090e-05       5.910631817543e-01       7.044670135550e-01      -1.182132043827e+00       2.084794294977e-05       1.960947705368e-08      -8.865990328704e-01       2.084794438606e-05      -1.182132043827e+00       2.084794294977e-05       1.960930848561e-08       3.333333333333e-01 
       7.083926975233e-03       1.629038493951e-08      -1.182132078232e+00       2.093508700907e-05       4.404435483303e-15       1.101108870826e-14       1.303072172215e-25       2.202217741651e-15      -8.865990586743e-01       2.093508700907e-05       5.910633195051e-01       7.044670051591e-01      -1.182132078232e+00       2.093508654214e-05       1.977375363876e-08      -8.865990586743e-01       2.093508799652e-05      -1.182132078232e+00       2.093508654214e-05       1.977349226126e-08       3.333333333333e-01 
       7.113414415793e-03       1.635819585479e-08      -1.182132085710e+00       2.102223009712e-05       4.459666479878e-15       1.114916619969e-14       1.330419838268e-25       2.229833239939e-15      -8.865990642826e-01       2.102223009712e-05       5.910634621300e-01       7.044670034959e-01      -1.182132085710e+00       2.102222962433e-05       1.993871545946e-08      -8.865990642826e-01       2.102223109695e-05      -1.182132085710e+00       2.102222962433e-05       1.993836031651e-08       3.333333333333e-01 
       7.142901856354e-03       1.642600677687e-08      -1.182132115502e+00       2.110937359902e-05       4.515357375255e-15       1.128839343814e-14       1.358224775844e-25       2.257678687627e-15      -8.865990866262e-01       2.110937359902e-05       5.910635986949e-01       7.044669962551e-01      -1.182132115502e+00       2.110937312033e-05       2.010436253060e-08      -8.865990866262e-01       2.110937461133e-05      -1.182132115502e+00       2.110937312033e-05       2.010391299925e-08       3.333333333333e-01 
       7.172389296914e-03       1.649381770576e-08      -1.182132138572e+00       2.119651696437e-05       4.571509959075e-15       1.142877489769e-14       1.386492660256e-25       2.285754979538e-15      -8.865991039293e-01       2.119651696437e-05       5.910637355256e-01       7.044669906953e-01      -1.182132138572e+00       2.119651647973e-05       2.027069484465e-08      -8.865991039293e-01       2.119651798927e-05      -1.182132138572e+00       2.119651647973e-05       2.027015006581e-08       3.333333333333e-01 
       7.259271514987e-03       1.669361683943e-08      -1.182132298768e+00       2.145327906120e-05       4.739661743746e-15       1.184915435936e-14       1.472528654682e-25       2.369830871873e-15      -8.865992240758e-01       2.145327906120e-05       5.910641093103e-01       7.044669512640e-01      -1.182132298768e+00       2.145327855873e-05       2.076476268902e-08      -8.865992240758e-01       2.145328012380e-05      -1.182132298768e+00       2.145327855873e-05       2.076393265542e-08       3.333333333333e-01 
       7.346153733060e-03       1.689341603217e-08      -1.182132559860e+00       2.171004302205e-05       4.911887606825e-15       1.227971901706e-14       1.562783797136e-25       2.455943803412e-15      -8.865994198952e-01       2.171004302205e-05       5.910644496481e-01       7.044668866159e-01      -1.182132559860e+00       2.171004250132e-05       2.126477936177e-08      -8.865994198952e-01       2.171004412326e-05      -1.182132559860e+00       2.171004250133e-05       2.126365731125e-08       3.333333333333e-01 
